N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
3,1000,10,10,10,100,1351747,699974,1.93113887087235,0.643712956957449,2099922,cpp_adv_dyn
4,1000,10,10,10,100,1351747,652273,2.07236387218235,0.518090968045588,2609092,cpp_adv_dyn
1,1000,10,100,10,10,1153353,1153353,1,1,1153353,cpp_adv_dyn
2,1000,10,100,10,10,1153353,634523,1.81766933586332,0.908834667931659,1269046,cpp_adv_dyn
3,1000,10,100,10,10,1153353,577122,1.99845613232557,0.666152044108525,1731366,cpp_adv_dyn
4,1000,10,100,10,10,1153353,490742,2.35022272395678,0.587555680989196,1962968,cpp_adv_dyn
1,1000,10,100,10,100,11482693,11482693,1,1,11482693,cpp_adv_dyn
2,1000,10,100,10,100,11482693,6361142,1.80513074539131,0.902565372695657,12722284,cpp_adv_dyn
3,1000,10,100,10,100,11482693,5494600,2.08981418119608,0.696604727065361,16483800,cpp_adv_dyn
4,1000,10,100,10,100,11482693,4573544,2.51067727783968,0.62766931945992,18294176,cpp_adv_dyn
1,1000,10,10,100,10,1092132,1092132,1,1,1092132,cpp_adv_dyn
2,1000,10,10,100,10,1092132,638131,1.71145423118451,0.855727115592253,1276262,cpp_adv_dyn
3,1000,10,10,100,10,1092132,524259,2.08319170486344,0.694397234954479,1572777,cpp_adv_dyn
4,1000,10,10,100,10,1092132,504587,2.16440772354421,0.541101930886051,2018348,cpp_adv_dyn
1,1000,10,10,100,100,10197709,10197709,1,1,10197709,cpp_adv_dyn
2,1000,10,10,100,100,10197709,5737601,1.77734718743949,0.888673593719745,11475202,cpp_adv_dyn
3,1000,10,10,100,100,10197709,5018645,2.03196460399171,0.677321534663905,15055935,cpp_adv_dyn
4,1000,10,10,100,100,10197709,3980468,2.56193718929533,0.640484297323832,15921872,cpp_adv_dyn
1,1000,10,100,100,10,9332408,9332408,1,1,9332408,cpp_adv_dyn
2,1000,10,100,100,10,9332408,5277815,1.76823325561809,0.884116627809046,10555630,cpp_adv_dyn
3,1000,10,100,100,10,9332408,4322312,2.15912409839919,0.71970803279973,12966936,cpp_adv_dyn
4,1000,10,100,100,10,9332408,4043826,2.30781640950921,0.576954102377303,16175304,cpp_adv_dyn
1,1000,10,100,100,100,90935702,90935702,1,1,90935702,cpp_adv_dyn
2,1000,10,100,100,100,90935702,60257899,1.50910840751351,0.754554203756756,120515798,cpp_adv_dyn
3,1000,10,100,100,100,90935702,58307647,1.55958449155048,0.519861497183494,174922941,cpp_adv_dyn
4,1000,10,100,100,100,90935702,50856585,1.78808116982294,0.447020292455736,203426340,cpp_adv_dyn
