,N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
48,1,100,10,10,100,10,429169.0,429169.0,1.0,1.0,429169.0,cpp_adv
49,2,100,10,10,100,10,429169.0,266203.0,1.612186940042,0.806093470020999,532406.0,cpp_adv
50,3,100,10,10,100,10,429169.0,254945.0,1.68337876796956,0.561126255989854,764835.0,cpp_adv
51,4,100,10,10,100,10,429169.0,239718.0,1.79030777830618,0.447576944576544,958872.0,cpp_adv
52,1,100,10,10,100,100,3461575.0,3461575.0,1.0,1.0,3461575.0,cpp_adv
53,2,100,10,10,100,100,3461575.0,2501107.0,1.38401715720279,0.692008578601395,5002214.0,cpp_adv
54,3,100,10,10,100,100,3461575.0,2159559.0,1.60290827895881,0.534302759652935,6478677.0,cpp_adv
55,4,100,10,10,100,100,3461575.0,1990025.0,1.73946307207196,0.43486576801799,7960100.0,cpp_adv
56,1,100,10,100,100,10,3415706.0,3415706.0,1.0,1.0,3415706.0,cpp_adv
57,2,100,10,100,100,10,3415706.0,2317232.0,1.47404575804235,0.737022879021177,4634464.0,cpp_adv
58,3,100,10,100,100,10,3415706.0,1952291.0,1.74958856031196,0.583196186770654,5856873.0,cpp_adv
59,4,100,10,100,100,10,3415706.0,1833688.0,1.86275200579379,0.465688001448447,7334752.0,cpp_adv
60,1,100,10,100,100,100,32922739.0,32922739.0,1.0,1.0,32922739.0,cpp_adv
61,2,100,10,100,100,100,32922739.0,23105813.0,1.42486823553882,0.712434117769412,46211626.0,cpp_adv
62,3,100,10,100,100,100,32922739.0,21359560.0,1.54135848303991,0.513786161013304,64078680.0,cpp_adv
63,4,100,10,100,100,100,32922739.0,22015614.0,1.49542679118556,0.373856697796391,88062456.0,cpp_adv
